price,vendor_price,vendor_cost,sku,vendor_sku,qty,stock_qty,name,udropship_vendor,weight,categoryname,image,small_image,thumbnail,manufacturer,status,tax_class_id,visibility,short_description,description
882345,882345,882345,MK142CI/A,MK142CI/A,3,3,"iMac 21.5''/ 1.6DC/ 8GB/ 1TB",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.48.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.48.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.48.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla de 21,5 pulgadas</li><li>Intel Core i5 de doble núcleo a 1,6 GHz </li><li>8 GB de memoria LPDDR3 integrada a 1.867 MHz</li><li>Disco duro de 1 TB (a 5.400 rpm)</li><li>Intel HD Graphics 6000</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla</b></p><p>Pantalla de 21,5 pulgadas (en diagonal) retroiluminada por LED con tecnología IPS; resolución de 1.920 por 1.080 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 2,7 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB de memoria LPDDR3 integrada a 1.867 MHz</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Disco duro de 1 TB (a 5.400 rpm)</p><p class=''specs-title''><b>Gráficos</b></p><p>Intel HD Graphics 6000</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 3.840 por 2.160 píxeles en un monitor externo.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 45</span> cm</p><p><span class=''specs-headline''>Ancho: </span>52.8 cm</p><p><span class=''specs-headline''>Ancho de la base: </span>17.5 cm</p><p><span class=''specs-headline''>Peso: </span>5.68 Kg</p>		   	      <div class=''clear''></div>
	   </div>"
1050412,1050412,1050412,MK442CI/A,MK442CI/A,3,3,"iMac 21.5''/ 2.8QC/ 8GB/ 1TB",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.485760314.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.485760314.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.32.485760314.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla de 21,5 pulgadas</li><li>Intel Core i5 de 4 núcleo a 2,8 GHz </li><li>8 GB de memoria LPDDR3 integrada a 1.867 MHz</li><li>Disco duro de 1 TB (a 5.400 rpm)</li><li>Intel Iris Pro Graphics 6200</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla</b></p><p>Pantalla de 21,5 pulgadas (en diagonal) retroiluminada por LED con tecnología IPS; resolución de 1.920 por 1.080 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de cuatro núcleos a 2,8 GHz (Turbo Boost de hasta 3,3 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB de memoria LPDDR3 integrada a 1.867 MHz</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Disco duro de 1 TB (a 5.400 rpm)</p><p class=''specs-title''><b>Gráficos</b></p><p>Intel Iris Pro Graphics 6200</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 4.096 por 2.304 píxeles en un monitor externo.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 45</span> cm</p><p><span class=''specs-headline''>Ancho: </span>52.8 cm</p><p><span class=''specs-headline''>Ancho de la base: </span>17.5 cm</p><p><span class=''specs-headline''>Peso: </span>5.68 Kg</p>		   	      <div class=''clear''></div>
	   </div>"
1176463,1176463,1176463,MK452CI/A,MK452CI/A,3,3,"iMac 21.5''/ 3.1QC/ 8GB/ 1TB",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.46.273504796.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.46.273504796.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 10.46.273504796.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla Retina 4K de 21,5 pulgadas</li><li>Intel Core i5 de doble núcleo a 3,1 GHz </li><li>8 GB de memoria LPDDR3 integrada a 1.867 MHz</li><li>Disco duro de 1 TB (a 5.400 rpm)</li><li>Intel Iris Pro Graphics 6200</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla Retina 4K</b></p><p>Pantalla Retina 4K de 21,5 pulgadas (en diagonal) con tecnología IPS; resolución de 4.096 por 2.304 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de cuatro núcleos a 3,1 GHz (Turbo Boost de hasta 3,6 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB de memoria LPDDR3 integrada a 1.867 MHz</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Disco duro de 1 TB (a 5.400 rpm)</p><p class=''specs-title''><b>Gráficos</b></p><p>Intel Iris Pro Graphics 6200</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 4.096 por 2.304 píxeles en un monitor externo.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 45</span> cm</p><p><span class=''specs-headline''>Ancho: </span>52.8 cm</p><p><span class=''specs-headline''>Ancho de la base: </span>17.5 cm</p><p><span class=''specs-headline''>Peso: </span>5.68 Kg</p>		   	      <div class=''clear''></div>
	   </div>"
1428564,1428564,1428564,MK462CI/A,MK462CI/A,3,3,"iMac 27''/ 3.2QC/ 8GB/ 1TB/ M380",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.50566706.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.50566706.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.50566706.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla Retina 5K de 27 pulgadas</li><li>Intel Core i5 de cuatro núcleos a 3,2 GHz</li><li>8 GB (dos módulos de 4 GB)</li><li>Disco duro de 1 TB (a 7.200 rpm)</li><li>AMD Radeon R9 M380 con 2 GB de memoria GDDR5</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla Retina 5K</b></p><p>Pantalla Retina 5K de 27 pulgadas (en diagonal) con tecnología IPS; resolución de 5.120 por 2.880 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de cuatro núcleos a 3,2 GHz (Turbo Boost de hasta 3,6 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB (dos módulos de 4 GB) de memoria DDR3 a 1.867 MHz; cuatro ranuras SO-DIMM accesibles</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Disco duro de 1 TB (a 7.200 rpm)</p><p class=''specs-title''><b>Gráficos</b></p><p>AMD Radeon R9 M380 con 2 GB de memoria GDDR5</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 4.096 por 2.160 píxeles en dos monitores externos o 5.120 por 2.880 píxeles en un monitor externo con cable doble.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 51,6</span> cm</p><p><span class=''specs-headline''>Ancho: 65</span> cm</p><p><span class=''specs-headline''>Ancho de la base: 20,3</span> cm</p><p><span class=''specs-headline''>Peso: 9,54</span> Kg</p>		   	      <div class=''clear''></div>
	   </div>"
1596631,1596631,1596631,MK472CI/A,MK472CI/A,3,3,"iMac 27''/ 3.2QC/ 8GB/ 1TB FD/ M390",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.507854805.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.507854805.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.507854805.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla Retina 5K de 27 pulgadas</li><li>Intel Core i5 de cuatro núcleos a 3,2 GHz</li><li>8 GB (dos módulos de 4 GB)</li><li>Fusion Drive de 1 TB</li><li>AMD Radeon R9 M390 con 2 GB de memoria GDDR5</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla Retina 5K</b></p><p>Pantalla Retina 5K de 27 pulgadas (en diagonal) con tecnología IPS; resolución de 5.120 por 2.880 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de cuatro núcleos a 3,2 GHz (Turbo Boost de hasta 3,6 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB (dos módulos de 4 GB) de memoria DDR3 a 1.867 MHz; cuatro ranuras SO-DIMM accesibles</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Fusion Drive de 1 TB</p><p class=''specs-title''><b>Gráficos</b></p><p>AMD Radeon R9 M390 con 2 GB de memoria GDDR5</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 4.096 por 2.160 píxeles en dos monitores externos o 5.120 por 2.880 píxeles en un monitor externo con cable doble.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 51,6</span> cm</p><p><span class=''specs-headline''>Ancho: 65</span> cm</p><p><span class=''specs-headline''>Ancho de la base: 20,3</span> cm</p><p><span class=''specs-headline''>Peso: 9,54</span> Kg</p>		   	      <div class=''clear''></div>
	   </div>"
1806715,1806715,1806715,MK482CI/A,MK482CI/A,3,3,"iMac 27'' /3.3QC/ 8GB/ 2TB FD/ M395",25,2,iMac,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.501192712.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.501192712.png,https://www.maconline.com/includes/thumbnailer.php/191/191/Captura de pantalla 2015-11-03 a las 17.42.501192712.png,Apple,1,IVA,4,"<div class=''descripcion''>
					<span itemprop=''description''><ul><li>Pantalla Retina 5K de 27 pulgadas</li><li>Intel Core i5 de cuatro núcleos a 3,3 GHz</li><li>8 GB (dos módulos de 4 GB)</li><li>Fusion Drive de 2 TB</li><li>AMD Radeon R9 M395 con 2 GB de memoria GDDR5</li></ul></span>
				</div>","<div class=''tabs-producto-wrapper'' id=''tab2-producto'' style=''display: block;''>
		   <p class=''specs-title''><b>Pantalla Retina 5K</b></p><p>Pantalla Retina 5K de 27 pulgadas (en diagonal) con tecnología IPS; resolución de 5.120 por 2.880 compatible con millones de colores</p><p class=''specs-title''><b>Procesador</b></p><p>Intel Core i5 de cuatro núcleos a 3,3 GHz (Turbo Boost de hasta 3,9 GHz)</p><p class=''specs-title''><b>Memoria</b></p><p>8 GB (dos módulos de 4 GB) de memoria DDR3 a 1.867 MHz; cuatro ranuras SO-DIMM accesibles</p><p class=''specs-title''><b>Almacenamiento</b></p><p>Fusion Drive de 2 TB</p><p class=''specs-title''><b>Gráficos</b></p><p>AMD Radeon R9 M395 con 2 GB de memoria GDDR5</p><p class=''specs-title''><b>Compatibilidad con video y cámara</b></p><p>Cámara FaceTime HD</p><p>Admite simultáneamente la resolución nativa máxima en la pantalla incorporada y hasta 4.096 por 2.160 píxeles en dos monitores externos o 5.120 por 2.880 píxeles en un monitor externo con cable doble.</p><p>Admite escritorio ampliado y vídeo en modo espejo.</p><p class=''specs-title''><b>Audio</b></p><p>Altavoces estéreo</p><p>Doble micrófono</p><p>Toma para auriculares de 3,5 mm</p><p>Salida de auriculares y de audio digital óptico (miniconector)</p><p>Compatible con los auriculares de Apple con micro para el iPhone</p><p class=''specs-title''><b>Conexiones y expansión</b> </p><p>Toma para auriculares de 3,5 mm</p><p>Ranura para tarjetas SDXC</p><p>Cuatro puertos USB 3 (compatibles con USB 2)</p><p>Dos puertos Thunderbolt 2</p><p>Puerto de salida Mini DisplayPort</p><p>Compatible con HDMI, DVI, VGA y DVI de doble canal (los adaptadores se venden por separado)</p><p>Gigabit Ethernet 10/100/1000BASE‑T (conector RJ-45)</p><p>Ranura de seguridad Kensington</p><p class=''specs-title''><b>Entradas</b></p><p class=''specs-headline''><b>Teclado Apple Magic Keyboard</b></p><p class=''specs-headline''>El nuevo teclado Apple Magic Keyboard viene de serie con tu iMac. Es inalámbrico y recargable (así que despídete de las pilas tradicionales), y su diseño ultracompacto aprovecha hasta el último milímetro de la superficie. Lleva teclas de función de tamaño estándar y tiene un perfil más estilizado para que escribas con total comodidad y precisión. Además se conecta a tu iMac desde el minuto uno.</p><p class=''specs-headline''><b>Ratón Apple Magic Mouse 2</b></p><p class=''specs-headline''>El nuevo diseño del ratón Apple Magic Mouse 2 hace que se deslice por la mesa con más suavidad que nunca. También es compatible con la tecnología Multi-Touch, por lo que puedes cambiar de página y recorrer documentos con unos sencillos gestos. Es la mejor opción si quieres combinar la comodidad de un ratón inalámbrico con las ventajas de la tecnología Multi-Touch.</p><p class=''specs-headline''><b>Apple Magic Trackpad 2</b></p><p class=''specs-headline''>Si eres más de trackpad, el Apple Magic Trackpad 2 te vendrá de perlas: admite todos los gestos Multi-Touch y lleva la tecnología Force Touch por primera vez a un Mac de mesa. Debajo de la superficie del trackpad hay unos sensores que detectan la intensidad con que presionas y ponen nuevas posibilidades al alcance de tus dedos. También estrena un perfil más estilizado, para que usarlo te resulte aún más cómodo.</p><p class=''specs-title''><b>Tecnología wireless</b></p><p class=''specs-headline''><u>Wi-Fi</u></p><p>Red wireless Wi-Fi 802.11ac, compatible con las normas 802.11a/b/g/n del IEEE </p><p class=''specs-headline''><u>Bluetooth</u></p><p>Tecnología wireless Bluetooth 4.0</p><p class=''specs-title''><b>Tamaño y peso</b></p><p><span class=''specs-headline''>Alto: 51,6</span> cm</p><p><span class=''specs-headline''>Ancho: 65</span> cm</p><p><span class=''specs-headline''>Ancho de la base: 20,3</span> cm</p><p><span class=''specs-headline''>Peso: 9,54</span> Kg</p>		   	      <div class=''clear''></div>
	   </div>"
